TAG,MODIFICATION FLAG,BIC CODE,BRANCH CODE,INSTITUTION NAME,BRANCH INFORMATION,CITY HEADING,SUBTYPE INDICATION,VALUE ADDED SERVICES,EXTRA INFO,PHYSICAL ADDRESS 1,PHYSICAL ADDRESS 2,PHYSICAL ADDRESS 3,PHYSICAL ADDRESS 4,LOCATION,COUNTRY NAME,POB NUMBER,POB LOCATION,POB COUNTRY NAME
FI,M,ADBNCNBJ,JN1,"AGRICULTURAL DEVELOPMENT BANK OF CHINA, THE","(BANKING DEPARTMENT, SHANDONG PROVINCIAL BRANCH)",JINAN,SUPE,FIN,BRACOLCOMDOC      CB,140 JINGSHI ROAD,,,,250002 JINAN,CN,,,
FI,A,BEGODEHH,CUS,"JOH. BERENBERG,GOSSLER UND CO.KG",(CUSTODY SERVICES),HAMBURG,SUPE,ERPFIN,ALL               CH,NEUER JUNGFERNSTIEG 20,,,,20354 HAMBURG,DE,POB 30 05 47,20302 HAMBURG,GERMANY
FI,A,EBILINBM,XXX,EMIRATES NBD BANK (P.J.S.C),,MUMBAI,SUPE,FIN,                  CB,MAKER MAXITY,FLOOR G-1,"5 NORTH AVENUE, BANDRA KURLA LINK R",MAHARASHTRA,MUMBAI 400051,IN,,,
FI,D,CCRTIT21,38M,CASSA RURALE VAL DI FASSA E AGORDINO,(CAPRILE),ALLEGHE,NSWB,TG+,BRA               N2,VIA MARMOLADA 2,,,,32022 ALLEGHE,IT,,,
FI,D,VMBSJMK1,XXX,VICTORIA MUTUAL BUILDING SOCIETY,,KINGSTON,NSWB,,                  NK,73-75 HALF WAY TREE ROAD,,,,10 KINGSTON,JM,,,
FI,M,MUBKJPJT,XXX,"MUSASHINO BANK LTD., THE",,SAITAMA,SUPE,FINTG+,                  CJ,OMIYA-KU,"10-8, SAKURAGI-CHO 1-CHOME",,,SAITAMA 331-0852,JP,,,
FI,M,SOGEGB33,XXX,SOCIETE GENERALE LONDON BRANCH,,LONDON,SUPE,FINTG+,                  C3,SG HOUSE,41 TOWER HILL,,,LONDON EC3N 4SG,UK,,,
FI,A,PENLUS41,XXX,"PEOPLES NATIONAL BANK, N.A.",,"MOUNT VERNON,IL",NSWB,,                  N4,520 SOUTH 42ND STREET,,,,"MOUNT VERNON,IL 62864",US,POB 908,"MOUNT VERNON,IL",UNITED STATES OF AMERICA
FI,A,ABSAZAJJ,FI1,ABSA BANK LIMITED,(FIXED INCOME INSTRUMENT),JOHANNESBURG,SUPE,FIN,SMK               CJ,ABSA TOWER WEST,FLOOR 7,15 TROYE STREET,,JOHANNESBURG 2001,ZA,POB 4854,JOHANNESBURG 2000,SOUTH AFRICA
